city_label,day,weather_desc,feels_like,lat_x,lon_x,weather_desc_score,best_cities,size,name,rating,desc,url,lat_y,lon_y,top_hotel
Aigues Mortes,05-02-2023,clear sky,8.13,43.5658,4.1913,8,16.130000000000003,100,Hôtel Saint Louis,8.4,,https://www.booking.com/hotel/fr/saint-louis-aigues-mortes.en-gb.html?,43.5672,4.1893,1
Aigues Mortes,05-02-2023,clear sky,8.13,43.5658,4.1913,8,16.130000000000003,100,Maison Aigues-Mortes 8 couchages,9.0,"Maison Aigues-Mortes 8 couchages, a property with a terrace, is located in Aigues-Mortes, 26 km from",https://www.booking.com/hotel/fr/maison-aigues-mortes-8-couchages.en-gb.html?,43.5721,4.1935,1
Aigues Mortes,05-02-2023,clear sky,8.13,43.5658,4.1913,8,16.130000000000003,100,"appartement n2 centre village, clim, parking gratuit",10.0,"Situated in Aigues-Mortes, 24 km from Montpellier Arena and 24 km from Parc des Expositions de Montp",https://www.booking.com/hotel/fr/appartement-n2-centre-village-clim-parking-gratuit.en-gb.html?,43.5672,4.1938,1
Aigues Mortes,05-02-2023,clear sky,8.13,43.5658,4.1913,8,16.130000000000003,100,11 le tadorne,9.3,"Boasting garden views, 11 le tadorne offers accommodation with a terrace and a balcony, around 25 km",https://www.booking.com/hotel/fr/11-le-tadorne.en-gb.html?,43.5716,4.1896,1
Aigues Mortes,05-02-2023,clear sky,8.13,43.5658,4.1913,8,16.130000000000003,100,la cabane du saunier Stella - Etang du Roy,9.5,"La cabane du saunier Stella - Etang du Roy is set in Aigues-Mortes, 32 km from Zenith Sud Montpellie",https://www.booking.com/hotel/fr/la-cabane-du-saunier-stella-etang-du-roy.en-gb.html?,43.5793,4.2128,1
Aigues Mortes,05-02-2023,clear sky,8.13,43.5658,4.1913,8,16.130000000000003,100,"La maison de Marie, maison de ville 4 personnes, option chambre patio 2 pers supp",9.2,"Located in Aigues-Mortes, within 24 km of Montpellier Arena and 24 km of Parc des Expositions de Mon",https://www.booking.com/hotel/fr/la-maison-de-marie-aigues-mortes.en-gb.html?,43.5669,4.1921,1
Aigues Mortes,05-02-2023,clear sky,8.13,43.5658,4.1913,8,16.130000000000003,100,La Villa Mazarin,9.1,"Set in a building dating from the 15th century, La Villa Mazarin is located in the fortified city of",https://www.booking.com/hotel/fr/la-villa-mazarin.en-gb.html?,43.565,4.1918,1
Aigues Mortes,05-02-2023,clear sky,8.13,43.5658,4.1913,8,16.130000000000003,100,CABANE DU SAUNIER MAIA ETANG DU ROY,9.2,"CABANE DU SAUNIER MAIA ETANG DU ROY is situated in Aigues-Mortes, 27 km from Parc des Expositions de",https://www.booking.com/hotel/fr/cabane-du-saunier-maia-etang-du-roy.en-gb.html?,43.5575,4.1824,1
Aigues Mortes,05-02-2023,clear sky,8.13,43.5658,4.1913,8,16.130000000000003,100,le dit vin secret,8.8,"Located in Aigues-Mortes, 24 km from Montpellier Arena and 24 km from Parc des Expositions de Montpe",https://www.booking.com/hotel/fr/le-dit-vin-secret.en-gb.html?,43.5668,4.1891,1
Aigues Mortes,05-02-2023,clear sky,8.13,43.5658,4.1913,8,16.130000000000003,100,Noemys Aigues-Mortes - ex Mona Lisa Royal Hôtel,7.0,"Featuring free WiFi and a seasonal outdoor swimming pool, Noemys Aigues-Mortes - ex Mona Lisa Royal ",https://www.booking.com/hotel/fr/le-royal-hotel-aigues-mortes.en-gb.html?,43.5764,4.1978,0
Aigues Mortes,05-02-2023,clear sky,8.13,43.5658,4.1913,8,16.130000000000003,100,"Appartement centre village, clim et parking gratuit",9.0,"Set in Aigues-Mortes, 24 km from Montpellier Arena and 24 km from Parc des Expositions de Montpellie",https://www.booking.com/hotel/fr/appartement-centre-village-clim-et-parking-gratuit.en-gb.html?,43.5672,4.1937,1
Aigues Mortes,05-02-2023,clear sky,8.13,43.5658,4.1913,8,16.130000000000003,100,Nouveau! Magnifique appartement climatisé,9.5,Nouveau! Magnifique appartement climatisé is located in the Aigues-Mortes Medieval City district of ,https://www.booking.com/hotel/fr/nouveau-magnifique-appartement-climatise.en-gb.html?,43.5657,4.1915,1
Aigues Mortes,05-02-2023,clear sky,8.13,43.5658,4.1913,8,16.130000000000003,100,Nice home in Aigues-Mortes with 3 Bedrooms and WiFi,8.0,"Located in Aigues-Mortes in the Languedoc-Roussillon region, Nice home in Aigues-Mortes with 3 Bedro",https://www.booking.com/hotel/fr/three-bedroom-holiday-home-in-aigues-mortes-aigues-mortes.en-gb.html?,43.5754,4.1871,0
Aigues Mortes,05-02-2023,clear sky,8.13,43.5658,4.1913,8,16.130000000000003,100,Lou Mirèio,9.4,"Set in Aigues-Mortes and only 24 km from Montpellier Arena, Lou Mirèio offers accommodation with cit",https://www.booking.com/hotel/fr/42-rue-pasteur.en-gb.html?,43.5661,4.1926,1
Aigues Mortes,05-02-2023,clear sky,8.13,43.5658,4.1913,8,16.130000000000003,100,Charmant appartement au cœur des remparts,8.6,"Within 24 km of Montpellier Arena and 24 km of Parc des Expositions de Montpellier, Charmant apparte",https://www.booking.com/hotel/fr/charmant-appartement-au-coeur-des-remparts.en-gb.html?,43.5657,4.1909,1
Aigues Mortes,05-02-2023,clear sky,8.13,43.5658,4.1913,8,16.130000000000003,100,"Appartement moderne tout confort, idéalement placé",9.2,"Situated in Aigues-Mortes, just 24 km from Montpellier Arena, Appartement moderne tout confort, idéa",https://www.booking.com/hotel/fr/appartement-moderne-tout-confort-idealement-place-aigues-mortes.en-gb.html?,43.5677,4.1934,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,Maison T3 jardin proche remparts Aigues Mortes,7.0,"Located 25 km from Parc des Expositions de Montpellier, 29 km from Zenith Sud Montpellier and 30 km ",https://www.booking.com/hotel/fr/maison-t3-avec-jardin-proche-remparts-aigues-morte.en-gb.html?,43.5672,4.205,0
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,Marina à Aigues Mortes - GARD,9.2,"Boasting lake views, Marina à Aigues Mortes - GARD provides accommodation with a terrace and a balco",https://www.booking.com/hotel/fr/marina-a-aigues-mortes-gard.en-gb.html?,43.5747,4.1885,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,La maison sur la place,8.5,"Featuring a garden and a terrace, La maison sur la place provides accommodation in Aigues-Mortes wit",https://www.booking.com/hotel/fr/la-maison-sur-la-place-aigues-mortes.en-gb.html?,43.5659,4.193,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,Résidence Odalys Fleur de Sel,8.3,,https://www.booking.com/hotel/fr/residence-odalys-fleur-de-sel.en-gb.html?,43.5741,4.1792,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,Awesome home in Aigues-Mortes with 3 Bedrooms and WiFi,9.5,"Situated 24 km from Parc des Expositions de Montpellier, 29 km from Zenith Sud Montpellier and 29 km",https://www.booking.com/hotel/fr/three-bedroom-holiday-home-aigues-mortes-0-05.en-gb.html?,43.5739,4.1869,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,AIGUES MARINES,9.7,"Boasting a seasonal outdoor pool, AIGUES MARINES in Aigues-Mortes features accommodation with free W",https://www.booking.com/hotel/fr/aigues-marines-aigues-mortes.en-gb.html?,43.5589,4.2181,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,"Awesome home in Aigues-Mortes with 2 Bedrooms, WiFi and Heated swimming pool",,"Located in Aigues-Mortes and only 24 km from Montpellier Arena, Awesome home in Aigues-Mortes with 2",https://www.booking.com/hotel/fr/nice-home-in-aigues-mortes-with-outdoor-swimming-pool-wifi-and-2-bedrooms.en-gb.html?,43.5748,4.1909,0
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,Résidence Odalys Le Mas des Flamants,8.0,,https://www.booking.com/hotel/fr/residence-le-mas-des-flamants.en-gb.html?,43.5738,4.1806,0
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,Studio refait à neuf avec jardin Aigues Mortes,8.2,"Situated in Aigues-Mortes, 23 km from Parc des Expositions de Montpellier and 27 km from Zenith Sud ",https://www.booking.com/hotel/fr/studio-neuf-avec-jardin-aigues-mortes.en-gb.html?,43.5705,4.1833,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,Hôtel Saint Louis,8.4,,https://www.booking.com/hotel/fr/saint-louis-aigues-mortes.en-gb.html?,43.5672,4.1893,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,Maison Aigues-Mortes 8 couchages,9.0,"Maison Aigues-Mortes 8 couchages, a property with a terrace, is located in Aigues-Mortes, 26 km from",https://www.booking.com/hotel/fr/maison-aigues-mortes-8-couchages.en-gb.html?,43.5721,4.1935,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,"appartement n2 centre village, clim, parking gratuit",10.0,"Situated in Aigues-Mortes, 24 km from Montpellier Arena and 24 km from Parc des Expositions de Montp",https://www.booking.com/hotel/fr/appartement-n2-centre-village-clim-parking-gratuit.en-gb.html?,43.5672,4.1938,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,11 le tadorne,9.3,"Boasting garden views, 11 le tadorne offers accommodation with a terrace and a balcony, around 25 km",https://www.booking.com/hotel/fr/11-le-tadorne.en-gb.html?,43.5716,4.1896,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,la cabane du saunier Stella - Etang du Roy,9.5,"La cabane du saunier Stella - Etang du Roy is set in Aigues-Mortes, 32 km from Zenith Sud Montpellie",https://www.booking.com/hotel/fr/la-cabane-du-saunier-stella-etang-du-roy.en-gb.html?,43.5793,4.2128,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,"La maison de Marie, maison de ville 4 personnes, option chambre patio 2 pers supp",9.2,"Located in Aigues-Mortes, within 24 km of Montpellier Arena and 24 km of Parc des Expositions de Mon",https://www.booking.com/hotel/fr/la-maison-de-marie-aigues-mortes.en-gb.html?,43.5669,4.1921,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,La Villa Mazarin,9.1,"Set in a building dating from the 15th century, La Villa Mazarin is located in the fortified city of",https://www.booking.com/hotel/fr/la-villa-mazarin.en-gb.html?,43.565,4.1918,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,CABANE DU SAUNIER MAIA ETANG DU ROY,9.2,"CABANE DU SAUNIER MAIA ETANG DU ROY is situated in Aigues-Mortes, 27 km from Parc des Expositions de",https://www.booking.com/hotel/fr/cabane-du-saunier-maia-etang-du-roy.en-gb.html?,43.5575,4.1824,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,le dit vin secret,8.8,"Located in Aigues-Mortes, 24 km from Montpellier Arena and 24 km from Parc des Expositions de Montpe",https://www.booking.com/hotel/fr/le-dit-vin-secret.en-gb.html?,43.5668,4.1891,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,Noemys Aigues-Mortes - ex Mona Lisa Royal Hôtel,7.0,"Featuring free WiFi and a seasonal outdoor swimming pool, Noemys Aigues-Mortes - ex Mona Lisa Royal ",https://www.booking.com/hotel/fr/le-royal-hotel-aigues-mortes.en-gb.html?,43.5764,4.1978,0
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,"Appartement centre village, clim et parking gratuit",9.0,"Set in Aigues-Mortes, 24 km from Montpellier Arena and 24 km from Parc des Expositions de Montpellie",https://www.booking.com/hotel/fr/appartement-centre-village-clim-et-parking-gratuit.en-gb.html?,43.5672,4.1937,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,Nouveau! Magnifique appartement climatisé,9.5,Nouveau! Magnifique appartement climatisé is located in the Aigues-Mortes Medieval City district of ,https://www.booking.com/hotel/fr/nouveau-magnifique-appartement-climatise.en-gb.html?,43.5657,4.1915,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,Nice home in Aigues-Mortes with 3 Bedrooms and WiFi,8.0,"Located in Aigues-Mortes in the Languedoc-Roussillon region, Nice home in Aigues-Mortes with 3 Bedro",https://www.booking.com/hotel/fr/three-bedroom-holiday-home-in-aigues-mortes-aigues-mortes.en-gb.html?,43.5754,4.1871,0
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,Lou Mirèio,9.4,"Set in Aigues-Mortes and only 24 km from Montpellier Arena, Lou Mirèio offers accommodation with cit",https://www.booking.com/hotel/fr/42-rue-pasteur.en-gb.html?,43.5661,4.1926,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,Charmant appartement au cœur des remparts,8.6,"Within 24 km of Montpellier Arena and 24 km of Parc des Expositions de Montpellier, Charmant apparte",https://www.booking.com/hotel/fr/charmant-appartement-au-coeur-des-remparts.en-gb.html?,43.5657,4.1909,1
Aigues Mortes,06-02-2023,scattered clouds,3.33,43.5658,4.1913,6,9.33,100,"Appartement moderne tout confort, idéalement placé",9.2,"Situated in Aigues-Mortes, just 24 km from Montpellier Arena, Appartement moderne tout confort, idéa",https://www.booking.com/hotel/fr/appartement-moderne-tout-confort-idealement-place-aigues-mortes.en-gb.html?,43.5677,4.1934,1
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,Maison T3 jardin proche remparts Aigues Mortes,7.0,"Located 25 km from Parc des Expositions de Montpellier, 29 km from Zenith Sud Montpellier and 30 km ",https://www.booking.com/hotel/fr/maison-t3-avec-jardin-proche-remparts-aigues-morte.en-gb.html?,43.5672,4.205,0
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,Marina à Aigues Mortes - GARD,9.2,"Boasting lake views, Marina à Aigues Mortes - GARD provides accommodation with a terrace and a balco",https://www.booking.com/hotel/fr/marina-a-aigues-mortes-gard.en-gb.html?,43.5747,4.1885,1
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,La maison sur la place,8.5,"Featuring a garden and a terrace, La maison sur la place provides accommodation in Aigues-Mortes wit",https://www.booking.com/hotel/fr/la-maison-sur-la-place-aigues-mortes.en-gb.html?,43.5659,4.193,1
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,Résidence Odalys Fleur de Sel,8.3,,https://www.booking.com/hotel/fr/residence-odalys-fleur-de-sel.en-gb.html?,43.5741,4.1792,1
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,Awesome home in Aigues-Mortes with 3 Bedrooms and WiFi,9.5,"Situated 24 km from Parc des Expositions de Montpellier, 29 km from Zenith Sud Montpellier and 29 km",https://www.booking.com/hotel/fr/three-bedroom-holiday-home-aigues-mortes-0-05.en-gb.html?,43.5739,4.1869,1
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,AIGUES MARINES,9.7,"Boasting a seasonal outdoor pool, AIGUES MARINES in Aigues-Mortes features accommodation with free W",https://www.booking.com/hotel/fr/aigues-marines-aigues-mortes.en-gb.html?,43.5589,4.2181,1
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,"Awesome home in Aigues-Mortes with 2 Bedrooms, WiFi and Heated swimming pool",,"Located in Aigues-Mortes and only 24 km from Montpellier Arena, Awesome home in Aigues-Mortes with 2",https://www.booking.com/hotel/fr/nice-home-in-aigues-mortes-with-outdoor-swimming-pool-wifi-and-2-bedrooms.en-gb.html?,43.5748,4.1909,0
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,Résidence Odalys Le Mas des Flamants,8.0,,https://www.booking.com/hotel/fr/residence-le-mas-des-flamants.en-gb.html?,43.5738,4.1806,0
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,Studio refait à neuf avec jardin Aigues Mortes,8.2,"Situated in Aigues-Mortes, 23 km from Parc des Expositions de Montpellier and 27 km from Zenith Sud ",https://www.booking.com/hotel/fr/studio-neuf-avec-jardin-aigues-mortes.en-gb.html?,43.5705,4.1833,1
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,Hôtel Saint Louis,8.4,,https://www.booking.com/hotel/fr/saint-louis-aigues-mortes.en-gb.html?,43.5672,4.1893,1
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,Maison Aigues-Mortes 8 couchages,9.0,"Maison Aigues-Mortes 8 couchages, a property with a terrace, is located in Aigues-Mortes, 26 km from",https://www.booking.com/hotel/fr/maison-aigues-mortes-8-couchages.en-gb.html?,43.5721,4.1935,1
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,"appartement n2 centre village, clim, parking gratuit",10.0,"Situated in Aigues-Mortes, 24 km from Montpellier Arena and 24 km from Parc des Expositions de Montp",https://www.booking.com/hotel/fr/appartement-n2-centre-village-clim-parking-gratuit.en-gb.html?,43.5672,4.1938,1
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,11 le tadorne,9.3,"Boasting garden views, 11 le tadorne offers accommodation with a terrace and a balcony, around 25 km",https://www.booking.com/hotel/fr/11-le-tadorne.en-gb.html?,43.5716,4.1896,1
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,la cabane du saunier Stella - Etang du Roy,9.5,"La cabane du saunier Stella - Etang du Roy is set in Aigues-Mortes, 32 km from Zenith Sud Montpellie",https://www.booking.com/hotel/fr/la-cabane-du-saunier-stella-etang-du-roy.en-gb.html?,43.5793,4.2128,1
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,"La maison de Marie, maison de ville 4 personnes, option chambre patio 2 pers supp",9.2,"Located in Aigues-Mortes, within 24 km of Montpellier Arena and 24 km of Parc des Expositions de Mon",https://www.booking.com/hotel/fr/la-maison-de-marie-aigues-mortes.en-gb.html?,43.5669,4.1921,1
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,La Villa Mazarin,9.1,"Set in a building dating from the 15th century, La Villa Mazarin is located in the fortified city of",https://www.booking.com/hotel/fr/la-villa-mazarin.en-gb.html?,43.565,4.1918,1
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,CABANE DU SAUNIER MAIA ETANG DU ROY,9.2,"CABANE DU SAUNIER MAIA ETANG DU ROY is situated in Aigues-Mortes, 27 km from Parc des Expositions de",https://www.booking.com/hotel/fr/cabane-du-saunier-maia-etang-du-roy.en-gb.html?,43.5575,4.1824,1
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,le dit vin secret,8.8,"Located in Aigues-Mortes, 24 km from Montpellier Arena and 24 km from Parc des Expositions de Montpe",https://www.booking.com/hotel/fr/le-dit-vin-secret.en-gb.html?,43.5668,4.1891,1
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,Noemys Aigues-Mortes - ex Mona Lisa Royal Hôtel,7.0,"Featuring free WiFi and a seasonal outdoor swimming pool, Noemys Aigues-Mortes - ex Mona Lisa Royal ",https://www.booking.com/hotel/fr/le-royal-hotel-aigues-mortes.en-gb.html?,43.5764,4.1978,0
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,"Appartement centre village, clim et parking gratuit",9.0,"Set in Aigues-Mortes, 24 km from Montpellier Arena and 24 km from Parc des Expositions de Montpellie",https://www.booking.com/hotel/fr/appartement-centre-village-clim-et-parking-gratuit.en-gb.html?,43.5672,4.1937,1
Aigues Mortes,07-02-2023,scattered clouds,-0.59,43.5658,4.1913,6,5.41,100,Nouveau! Magnifique appartement climatisé,9.5,Nouveau! Magnifique appartement climatisé is located in the Aigues-Mortes Medieval City district of ,https://www.booking.com/hotel/fr/nouveau-magnifique-appartement-climatise.en-gb.html?,43.5657,4.1915,1
